IDATE,LAT,LON,ELEVATION_m,ACRES,PPT_mm,TMIN_c,TMEAN_c,TMAX_c,TDMEAN_c,VPDMIN_hpa,VPDMAX_hpa,lfmc_mean,lfmc_stdv,Mean_Sea_Level_Pressure,Mean_Station_Pressure,Mean_Wind_Speed,Maximum_Sustained_Wind_Speed,NAMELSAD,population
2012-01-31 00:00:00,35.0021,-118.1694,828,0.3,0,-0.9,8.4,17.7,-10.2,2.56,18.27,58.6125,16.438251,1016.4,976.7,4.3,10.4,Kern County,585550
2012-01-31 00:00:00,35.4739,-118.7181,880,0.1,0,3.9,10.9,17.9,-3.7,2.81,16.16,9.36,7.175089,1017.1,974.6,3.6,10.7,Kern County,585550
2012-02-01 00:00:00,34.2544,-117.4483,874,0.1,0,3.8,12.2,20.6,-5.5,4.01,19.16,176.1575,23.292004,1019.6,984.1,4.6,12.8,San Bernardino County,1440622
2012-02-03 00:00:00,38.7061,-120.4317,1564,0.1,0,-2,3.9,9.9,-13.6,1.95,11.29,108.33,21.473883,1018.2,895.4,4.5,11,El Dorado County,139883
2012-02-04 00:00:00,33.6506,-116.5967,1890,0.1,0,-2.6,3.4,9.3,-15,2.35,9.3,123.91,28.412724,1017.8,1000,4.8,10.7,Riverside County,1569533
2012-02-07 00:00:00,34.2472,-116.7386,2081,0,0,-6.4,1.1,8.7,-11.4,1.13,8.36,57.235,14.841387,1014.8,966.7,4.4,10.6,San Bernardino County,1440622
2012-02-07 00:00:00,37.3831,-119.3403,1380,6,0,-0.8,6.3,13.4,-8.5,3.03,12.99,126.5325,23.85166,1012.3,943.2,4.8,15.2,Madera County,108016
2012-02-10 00:00:00,32.7406,-114.6129,40,0.3,0,8.9,18.4,27.9,-0.6,5.77,31.32,128.105,31.13922,1018.5,976.7,2.9,7.5,Imperial County,123430
2012-02-10 00:00:00,34.3747,-117.7003,2083,0.1,0,1.9,9.4,16.9,-10.9,3.03,15.24,294.1125,43.989067,1020.3,985.7,3.8,11.2,Los Angeles County,7416397
2012-02-11 00:00:00,41.9308,-122.0272,1314,0.1,0.55,0.4,6.3,12.1,0.7,0.13,7.99,141.345,23.462852,1017,886.8,5,12.5,Siskiyou County,35575
2012-02-12 00:00:00,34.5767,-118.6911,902,0.1,0,2.2,6.8,11.4,0.8,0.12,5.66,60.0875,17.102444,1013.7,988.9,8,17.7,Los Angeles County,7416397
2012-02-12 00:00:00,35.4656,-118.7558,793,0.1,1.59,5.5,8.1,10.8,3.5,1.01,4.03,38.8,19.385975,1014.7,971.5,7.1,13.5,Kern County,585550
2012-02-13 00:00:00,34.4747,-119.8831,95,0.88,0,6.9,12.2,17.4,6.7,1.44,8.48,92.7125,14.048829,1015.6,1012.1,7.1,21.7,Santa Barbara County,325848
2012-02-14 00:00:00,34.8503,-119.2072,2213,1,4.19,-6.7,-3.6,-0.4,-5.1,0.32,2.41,296.34,44.146965,1014.8,969.3,7.1,18.9,Kern County,585550
2012-02-15 00:00:00,34.8494,-119.1017,1900,1,0,-5.6,-0.6,4.3,-6.1,0.62,4.07,115.9275,13.609904,1016.9,954.3,8.4,20.5,Kern County,585550
2012-02-16 00:00:00,34.079,-118.8188,529,0.3,1.78,5.5,8.1,10.7,-0.3,1,7.07,139.0775,14.012342,1017.2,1004.4,6.3,16.7,Los Angeles County,7416397
2012-02-17 00:00:00,36.05,-118.1319,1983,1.1,0,-4.4,2.2,8.9,-11.5,1.16,8.08,134.2225,20.132269,1022.7,953.9,4.2,11.7,Tulare County,298055
2012-02-22 00:00:00,41.4608,-120.5061,1341,0.5,0,-0.5,4.3,9,2.1,0.07,3.01,143.3,16.77358,1027.4,882.5,4.9,9.7,Modoc County,7562
2012-02-23 00:00:00,41.1025,-123.7075,216,1,0.03,4.8,11.2,17.5,7.8,0.17,8.16,102.33,16.300877,1027.2,1003.5,9.2,18.9,Humboldt County,107562
2012-02-24 00:00:00,34.5456,-118.5639,517,0.1,0,9.4,18.1,26.8,-5,7.61,31.31,54.9525,12.766381,1016,948.1,4.9,11.9,Los Angeles County,7416397
2012-02-24 00:00:00,41.0889,-123.695,216,0.5,0,2.5,10.2,17.8,1.2,0.16,14.26,104.3475,16.244352,1022.2,997.9,4.4,12.2,Humboldt County,107562
2012-02-24 00:00:00,41.8888,-121.3734,1252,0.5,0,-6.4,1,8.4,-8.8,0.4,8.4,146.6975,20.731335,1023.9,898.3,6.6,11.9,Modoc County,7562
